Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_n_neighbors,param_metric,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
10,1,0.8910952602886546,0.009496314945019482,1.4297731876373292,0.10957865511289618,26.267872428894044,0.24269152225213309,distance,5,minkowski,"{'weights': 'distance', 'n_neighbors': 5, 'metric': 'minkowski'}",0.9050160085378869,0.8890469416785206,0.8755334281650071,0.8915362731152204,0.8943436499466382
13,2,0.8910242883449646,0.009794502273647254,1.4082579612731934,0.022428751373248436,44.54887552261353,0.32559644557865863,distance,4,manhattan,"{'weights': 'distance', 'n_neighbors': 4, 'metric': 'manhattan'}",0.9075062255425116,0.8890469416785206,0.8776671408250356,0.8869132290184921,0.8939879046602632
8,3,0.8887477209276906,0.009225413980048076,1.4451528072357178,0.04301663448767635,57.05786218643188,0.3538045341535263,distance,8,manhattan,"{'weights': 'distance', 'n_neighbors': 8, 'metric': 'manhattan'}",0.9064389896833867,0.8837126600284495,0.879800853485064,0.8872688477951636,0.8865172536463892
12,4,0.8856895765619015,0.011544902804803242,1.3424848556518554,0.05963420230239504,29.675289630889893,0.718681182562504,distance,9,minkowski,"{'weights': 'distance', 'n_neighbors': 9, 'metric': 'minkowski'}",0.9028815368196371,0.8812233285917497,0.868421052631579,0.883357041251778,0.8925649235147635
20,5,0.885333780671645,0.011622565916425243,1.0733859062194824,0.026375759690744512,22.934889173507692,0.18217602771383243,distance,8,euclidean,"{'weights': 'distance', 'n_neighbors': 8, 'metric': 'euclidean'}",0.903593027392387,0.8790896159317212,0.868421052631579,0.8862019914651493,0.8893632159373889
23,6,0.8849070634415801,0.011788123786898908,1.0834411144256593,0.02678342779353691,23.73869194984436,0.6301347425605512,distance,10,euclidean,"{'weights': 'distance', 'n_neighbors': 10, 'metric': 'euclidean'}",0.9032372821060121,0.8801564722617354,0.8673541963015647,0.8837126600284495,0.8900747065101388
5,7,0.8810657228030705,0.01138908334072323,1.3430071830749513,0.026956471421561455,32.08169364929199,0.34546650986023464,distance,14,euclidean,"{'weights': 'distance', 'n_neighbors': 14, 'metric': 'euclidean'}",0.8986125933831377,0.8762446657183499,0.8637980085348507,0.8812233285917497,0.8854500177872643
0,8,0.8805677553079676,0.011417665974730897,1.6971808433532716,0.06549457092804764,33.638911199569705,0.22835300870268266,distance,15,minkowski,"{'weights': 'distance', 'n_neighbors': 15, 'metric': 'minkowski'}",0.8979011028103877,0.8766002844950214,0.8627311522048364,0.8808677098150782,0.8847385272145144
14,9,0.8797851409798835,0.0107092695987683,1.3751596450805663,0.019753976603684976,33.96770839691162,0.36767077603234527,distance,17,minkowski,"{'weights': 'distance', 'n_neighbors': 17, 'metric': 'minkowski'}",0.8964781216648879,0.8769559032716927,0.8630867709815079,0.879800853485064,0.8826040554962646
2,9,0.8797851409798835,0.0107092695987683,1.3841023445129395,0.030255418156922214,33.497755479812625,0.24714328170687697,distance,17,euclidean,"{'weights': 'distance', 'n_neighbors': 17, 'metric': 'euclidean'}",0.8964781216648879,0.8769559032716927,0.8630867709815079,0.879800853485064,0.8826040554962646
6,11,0.8795007724682499,0.010995871711389866,1.3441779613494873,0.019557648486161094,24.63803677558899,0.4284300643517812,uniform,1,manhattan,"{'weights': 'uniform', 'n_neighbors': 1, 'metric': 'manhattan'}",0.9000355745286375,0.8744665718349929,0.868421052631579,0.8737553342816501,0.8808253290643899
3,12,0.8773665537694072,0.010951355930447338,1.3751843929290772,0.03182139028887715,33.810021591186526,0.41098474924481493,distance,19,minkowski,"{'weights': 'distance', 'n_neighbors': 19, 'metric': 'minkowski'}",0.8964781216648879,0.8744665718349929,0.862375533428165,0.8762446657183499,0.8772678762006404
18,13,0.7215121148222311,0.007659703518547262,1.1632930755615234,0.08608299996048555,31.680049705505372,0.4649688010392675,uniform,3,manhattan,"{'weights': 'uniform', 'n_neighbors': 3, 'metric': 'manhattan'}",0.7314123087869085,0.7197724039829303,0.7108819345661451,0.7165718349928877,0.7289220917822838
24,14,0.718809007288477,0.007444268834004309,1.0487261772155763,0.03613487311879662,16.14190716743469,2.3160371311677075,uniform,3,euclidean,"{'weights': 'uniform', 'n_neighbors': 3, 'metric': 'euclidean'}",0.728210601209534,0.716927453769559,0.7137268847795164,0.7087482219061166,0.7264318747776592
7,14,0.718809007288477,0.007444268834004309,1.377232027053833,0.06384499558139498,24.337408208847044,0.2457844260795947,uniform,3,minkowski,"{'weights': 'uniform', 'n_neighbors': 3, 'metric': 'minkowski'}",0.728210601209534,0.716927453769559,0.7137268847795164,0.7087482219061166,0.7264318747776592
4,16,0.6099029012723335,0.010619232351701263,1.3756161212921143,0.030258561042560993,47.396044158935545,0.29664369677993196,uniform,5,manhattan,"{'weights': 'uniform', 'n_neighbors': 5, 'metric': 'manhattan'}",0.6204197794379225,0.6020625889046942,0.5931721194879089,0.6194879089615932,0.6143721095695482
17,17,0.5230487775873385,0.011756777037819926,1.297860813140869,0.13797438257994424,38.00266275405884,1.0637056527904094,uniform,4,manhattan,"{'weights': 'uniform', 'n_neighbors': 4, 'metric': 'manhattan'}",0.5418000711490573,0.5149359886201992,0.5071123755334281,0.5273826458036984,0.5240128068303095
9,18,0.4905410971832362,0.012076885686263202,1.4320591926574706,0.050720899593792966,58.543435382843015,0.828645570108522,uniform,9,manhattan,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.5080042689434365,0.48933143669985774,0.47546230440967285,0.4800853485064011,0.49982212735681253
