Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_var_smoothing,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
1,1,0.4883446294316666,0.01231486186042085,0.14029960632324218,0.004764633581343632,0.03126363754272461,0.0028504335029530294,0.001,{'var_smoothing': 0.001},0.5008938148015731,0.4908830890239542,0.48122988916696463,0.46835895602431177,0.5003573981415297
2,2,0.471756218944887,0.014343029911080503,0.13989577293395997,0.005097051631607421,0.02785358428955078,0.0008585095643113262,0.0001,{'var_smoothing': 0.0001},0.4844476224526278,0.47229174115123346,0.4629960672148731,0.449767608151591,0.4892780557541101
3,3,0.44572963526989373,0.01921607858894296,0.13837165832519532,0.0034390014052387663,0.0309450626373291,0.002201188269105263,1e-05,{'var_smoothing': 1e-05},0.4608509116910976,0.44869503038970326,0.42760100107257776,0.42045048265999285,0.4710507505360972
4,4,0.4259955844654348,0.01837832752627909,0.14056358337402344,0.004514894474484907,0.026950645446777343,0.0012735370749106893,1e-06,{'var_smoothing': 1e-06},0.4372542009295674,0.430818734358241,0.40471934215230604,0.4054343939935645,0.4517512508934953
5,5,0.4035444388874733,0.019034620115036677,0.13996286392211915,0.006413654387191036,0.03058648109436035,0.005517910563352954,1e-07,{'var_smoothing': 1e-07},0.41186986056489094,0.4107972828030032,0.3800500536288881,0.3839828387558098,0.43102215868477484
0,6,0.3855273047324523,0.010937247469420548,0.10902972221374511,0.016184384074715997,0.03414344787597656,0.002598650444309164,0.01,{'var_smoothing': 0.01},0.3918484090096532,0.3839828387558098,0.38362531283518053,0.3675366464068645,0.4006433166547534
6,7,0.3795206903751415,0.019161383060719663,0.14083385467529297,0.00459809131174467,0.029849958419799805,0.0021675400321210007,1e-08,{'var_smoothing': 1e-08},0.3957811941365749,0.38291026099392206,0.35216303181980696,0.3636038612799428,0.403145103645461
7,8,0.3547098226093872,0.020138435594896375,0.13969621658325196,0.0006082599272614943,0.027751588821411134,0.0019343160461530644,1e-09,{'var_smoothing': 1e-09},0.37039685377189846,0.35466571326421165,0.33142652842331066,0.3339292098677154,0.38313080771979985
8,9,0.33047155854467786,0.016846907915677275,0.1400149345397949,0.002582869131430327,0.030190181732177735,0.0035730864372858708,1e-10,{'var_smoothing': 1e-10},0.3442974615659635,0.32642116553450123,0.3135502323918484,0.3128351805505899,0.35525375268048603
9,10,0.3110241162605804,0.013203581747369665,0.143662691116333,0.008397485092317736,0.03097696304321289,0.0018472433359465186,1e-11,{'var_smoothing': 1e-11},0.32391848409009655,0.3103324991061852,0.2946013585984984,0.2985341437254201,0.3277340957827019
10,11,0.291790755079922,0.014093852974633673,0.14574837684631348,0.007957583233407924,0.03095865249633789,0.005354028514564235,1e-12,{'var_smoothing': 1e-12},0.30997497318555595,0.28888094386843044,0.2774401144082946,0.27636753664640684,0.3062902072909221
11,12,0.27641808605820134,0.014346938926161533,0.14735760688781738,0.007886529368079346,0.025808191299438475,0.0010389262149819887,1e-13,{'var_smoothing': 1e-13},0.2913836253128352,0.2767250625670361,0.25741866285305687,0.26349660350375403,0.2930664760543245
12,13,0.26290475627031207,0.01283445778809282,0.14438419342041015,0.008155726119373116,0.03173060417175293,0.00444051036154735,1e-14,{'var_smoothing': 1e-14},0.27708258848766537,0.26313907758312477,0.24562030747229174,0.2516982481229889,0.27698355968548966
13,14,0.2495344112948546,0.011834930549680385,0.14103274345397948,0.005436397707944903,0.021672439575195313,0.004536038480732748,1e-15,{'var_smoothing': 1e-15},0.2642116553450125,0.2491955666785842,0.23453700393278512,0.23846978905970684,0.26125804145818443
